FIPS,County,Income
42001,Adams County,67253
42003,Allegheny County,61043
42005,Armstrong County,51410
42007,Beaver County,57807
42009,Bedford County,50509
42011,Berks County,63728
42013,Blair County,49181
42015,Bradford County,52358
42017,Bucks County,89139
42019,Butler County,70668
42021,Cambria County,46659
42023,Cameron County,41165
42025,Carbon County,57006
42027,Centre County,60403
42029,Chester County,100214
42031,Clarion County,46680
42033,Clearfield County,49015
42035,Clinton County,50923
42037,Columbia County,50550
42039,Crawford County,50304
42041,Cumberland County,71269
42043,Dauphin County,60715
42045,Delaware County,74477
42047,Elk County,53440
42049,Erie County,51529
42051,Fayette County,47364
42053,Forest County,39717
42055,Franklin County,63379
42057,Fulton County,53476
42059,Greene County,54776
42061,Huntingdon County,51678
42063,Indiana County,49320
42065,Jefferson County,47603
42067,Juniata County,53879
42069,Lackawanna County,52821
42071,Lancaster County,66056
42073,Lawrence County,50204
42075,Lebanon County,60281
42077,Lehigh County,63897
42079,Luzerne County,53473
42081,Lycoming County,54241
42083,McKean County,48647
42085,Mercer County,50696
42087,Mifflin County,50219
42089,Monroe County,63934
42091,Montgomery County,91546
42093,Montour County,58333
42095,Northampton County,70471
42097,Northumberland County,48671
42099,Perry County,63718
42101,Philadelphia County,45927
42103,Pike County,65928
42105,Potter County,45419
42107,Schuylkill County,52280
42109,Snyder County,58997
42111,Somerset County,49089
42113,Sullivan County,47407
42115,Susquehanna County,54966
42117,Tioga County,51324
42119,Union County,59399
42121,Venango County,49945
42123,Warren County,50250
42125,Washington County,63543
42127,Wayne County,56096
42129,Westmoreland County,60471
42131,Wyoming County,59415
42133,York County,66457
