0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
11,884,82,182,11,391,108,13,652,202,146,3,15,20,497,12,14,5,31,67,256,580,588,12,246,131,1,20,5,41,4,61,13,1,237,514,88,24,351,316,27,6,32,2,47,688,16,360,32,44,3704,21,3,24,12,91,1,13,2,9,8,7,237,14,420,3,476
16,875,74,162,10,363,108,16,695,200,143,1,15,21,503,9,10,3,15,61,232,559,585,8,315,150,0,38,2,36,7,61,17,3,264,521,77,18,288,364,14,8,41,7,44,703,21,300,31,38,3749,13,3,22,4,76,3,7,3,6,9,12,197,19,392,7,449
18,858,73,167,9,409,119,18,644,176,138,2,22,19,503,17,16,5,16,67,222,592,566,5,275,115,0,29,5,35,11,91,11,1,249,543,85,15,306,329,19,15,31,5,49,707,21,294,37,42,3690,13,3,23,6,65,0,14,3,6,8,6,233,14,376,10,447
17,832,73,152,8,355,118,16,671,189,127,0,17,34,477,11,4,5,11,60,267,581,625,5,283,116,1,28,3,40,10,71,8,1,253,494,76,15,309,323,29,4,39,4,51,702,18,285,34,34,3668,18,0,27,2,77,1,6,6,11,9,10,225,22,422,5,488
12,873,75,147,8,411,132,14,694,179,154,0,18,29,498,17,13,5,19,68,244,585,573,5,280,132,0,24,4,38,5,69,15,0,276,533,82,22,335,315,18,10,36,7,54,720,24,295,27,36,3671,11,3,28,7,68,1,11,2,11,9,3,201,15,411,2,496
15,867,50,164,13,374,107,22,645,175,150,1,9,27,533,15,13,7,21,59,217,580,568,4,257,133,1,26,4,43,7,67,10,0,242,538,88,21,351,333,22,5,30,8,54,731,20,296,42,51,3767,13,2,25,6,74,1,6,8,13,11,4,208,20,380,2,450
13,878,66,185,6,426,131,18,638,172,139,1,16,26,498,9,15,3,20,69,263,562,598,10,312,139,3,21,4,54,10,57,12,1,244,514,76,13,352,358,22,9,39,2,41,679,17,300,26,59,3640,11,1,27,9,86,1,7,5,8,6,8,201,22,395,5,455
14,812,70,171,4,394,118,13,682,194,131,0,9,32,498,12,23,10,20,76,239,561,555,5,292,112,3,17,4,31,11,57,11,2,226,539,75,16,324,345,16,4,41,9,47,734,21,301,25,33,3807,22,2,27,14,77,1,10,3,9,6,9,205,20,377,6,428
9,877,64,169,5,421,137,12,728,193,124,0,15,32,496,7,11,7,20,51,243,562,567,9,307,128,3,28,9,40,6,68,5,2,232,512,76,19,304,335,12,5,42,6,42,751,18,312,32,32,3758,10,2,18,4,65,1,7,3,8,5,4,217,11,419,8,450
15,861,61,145,9,419,119,17,631,189,139,0,17,30,535,13,6,8,25,59,231,558,599,11,280,143,0,24,1,39,7,73,22,0,245,511,78,18,331,301,19,9,31,3,47,747,13,304,32,50,3725,10,4,27,7,64,0,3,2,9,4,5,213,16,368,6,450
12,885,74,171,4,378,100,20,636,172,148,1,16,32,513,15,19,6,12,71,245,570,605,5,256,115,2,16,4,43,6,82,6,1,236,560,82,15,311,343,22,7,28,4,50,731,24,277,26,50,3669,12,2,29,9,74,1,6,3,16,9,6,231,18,448,10,453
16,862,75,153,9,425,115,15,699,181,135,0,16,26,523,7,16,11,17,65,219,593,579,5,289,123,1,28,4,30,8,75,16,4,224,486,96,14,332,330,15,8,38,13,48,727,17,307,27,49,3574,14,6,20,10,89,1,7,2,5,5,9,209,11,394,7,498
16,816,84,129,6,434,131,14,670,188,157,0,19,23,543,13,14,8,17,65,229,595,561,9,301,134,2,28,3,52,6,63,8,1,220,529,78,23,319,354,28,5,30,8,54,682,20,307,26,52,3724,17,2,29,3,87,0,5,2,8,10,9,228,16,427,6,444
12,865,74,163,6,416,161,18,710,191,139,2,11,26,538,10,13,2,17,80,250,576,553,9,300,131,1,18,4,58,13,56,9,2,254,521,80,29,335,329,24,8,28,4,38,738,22,311,28,30,3664,17,2,18,6,67,3,7,1,5,7,6,249,19,415,5,460
17,842,71,150,5,413,117,19,664,219,145,0,10,39,554,12,16,11,20,62,263,556,572,6,292,129,2,33,4,38,13,73,16,1,260,535,89,37,330,331,20,10,35,6,44,698,28,280,25,45,3667,11,3,25,9,78,5,10,3,7,9,11,235,18,366,6,425
20,852,70,165,6,400,117,19,697,184,136,2,14,27,493,16,18,7,19,66,241,580,567,5,253,133,1,23,3,35,13,78,13,2,216,581,79,23,337,302,19,7,37,7,49,744,22,300,25,41,3696,15,3,32,10,93,1,6,8,7,8,4,220,11,400,6,450
15,852,62,153,10,373,111,15,648,167,130,0,13,40,500,13,14,2,21,68,242,592,553,6,303,116,5,29,5,41,6,78,14,2,244,523,90,24,316,323,17,6,33,5,49,737,14,314,24,43,3710,17,3,19,3,81,3,6,4,8,9,4,233,13,451,4,460
15,883,81,153,5,414,121,10,661,184,139,1,22,26,507,13,9,5,17,61,272,574,578,7,272,116,3,23,3,35,12,79,9,1,255,549,94,18,357,348,20,11,18,8,35,757,20,296,35,52,3709,10,2,23,9,75,0,7,6,11,8,6,224,17,408,5,470
8,838,78,165,7,395,123,18,667,222,128,0,8,22,470,3,16,8,21,71,238,547,584,7,282,137,1,24,1,45,9,74,5,2,254,475,107,22,317,344,27,9,26,4,27,731,20,291,24,58,3768,12,3,23,6,88,2,6,4,11,8,5,237,18,395,6,461
19,856,78,170,14,392,116,16,680,208,157,2,20,28,505,9,11,7,14,67,251,590,577,7,285,134,2,27,7,35,6,72,13,2,244,525,81,22,328,331,22,7,27,5,58,768,16,311,35,44,3657,16,9,27,9,76,2,13,2,10,11,10,208,18,428,4,464
12,820,79,143,7,400,111,13,656,192,134,0,12,30,514,13,18,3,18,72,251,584,555,12,265,133,1,21,2,36,10,67,15,1,256,532,77,16,309,362,17,9,40,3,44,700,22,280,28,48,3716,16,1,21,6,76,0,7,1,9,16,11,206,15,397,6,457
12,884,72,169,11,466,105,27,678,224,134,3,14,32,480,14,12,7,17,82,230,529,588,7,316,156,0,23,5,48,7,84,8,0,281,528,87,25,302,364,20,8,40,0,34,750,15,335,27,41,3767,16,4,29,7,84,1,11,3,9,9,7,208,15,384,4,458
15,928,65,155,9,418,139,17,680,178,146,0,14,37,535,9,21,5,24,70,229,572,566,6,267,125,2,33,4,34,8,67,16,1,249,551,83,24,332,338,16,8,35,8,48,736,21,308,22,55,3856,20,2,36,6,86,0,6,4,5,12,6,200,23,385,7,487
20,839,63,166,5,407,122,15,651,174,140,1,9,28,529,12,12,9,15,53,216,641,584,9,260,127,2,25,3,44,10,75,9,3,212,525,83,15,329,338,16,9,41,4,48,694,17,279,18,47,3699,14,1,29,19,81,1,8,6,7,8,12,189,15,396,3,448
13,848,61,162,6,408,138,19,644,175,153,0,11,29,462,10,12,7,9,68,238,588,553,5,309,133,4,25,2,41,8,76,7,0,216,521,97,27,320,351,28,11,38,4,47,743,18,311,24,52,3694,21,7,27,8,91,1,7,1,8,12,6,247,18,403,5,434
14,857,62,165,8,382,116,14,670,203,156,0,23,30,525,8,22,12,16,69,240,539,564,15,251,133,0,26,2,56,9,68,10,2,244,543,81,26,324,350,22,5,33,6,47,718,16,293,30,49,3730,9,4,29,10,76,0,7,3,7,2,9,223,12,393,9,462
18,837,67,159,6,392,119,22,649,182,142,1,17,24,523,11,22,5,17,77,253,596,592,6,278,125,0,29,7,38,2,84,13,2,270,500,68,23,350,338,18,8,32,8,52,721,16,306,29,49,3711,17,2,40,2,69,2,7,6,6,3,6,209,13,403,7,448
11,865,70,160,11,396,124,29,696,208,163,2,14,19,563,7,16,7,19,55,258,562,594,9,292,151,2,24,5,46,7,69,14,0,253,543,82,19,333,368,15,8,33,3,42,681,21,310,28,62,3735,22,4,26,8,91,0,7,4,4,6,8,217,17,422,6,439
18,847,64,167,5,370,126,21,683,190,155,2,18,25,507,16,10,6,24,64,252,574,559,5,326,105,3,20,2,30,12,74,13,3,217,538,74,20,356,322,24,6,26,3,44,735,21,333,29,36,3699,12,6,26,6,68,2,14,4,13,6,9,201,14,382,3,458
10,856,65,147,12,413,133,17,625,193,170,1,23,27,489,18,15,11,15,75,240,587,505,5,277,131,2,28,1,49,11,78,17,1,247,543,77,21,303,355,20,10,35,4,42,727,23,283,24,42,3803,16,2,26,6,74,0,10,4,7,5,5,203,14,410,3,424
13,861,72,154,7,404,122,22,677,190,135,2,16,29,479,9,18,7,15,69,266,586,562,4,279,151,0,26,7,49,9,57,13,1,241,541,102,13,348,336,24,8,41,3,56,763,17,282,28,63,3705,17,1,14,8,86,1,7,3,5,10,13,208,20,388,7,467
11,866,62,165,9,411,120,21,695,189,132,0,14,31,500,18,9,12,18,90,230,619,564,6,271,126,4,26,5,42,11,72,9,2,265,560,94,25,336,347,26,12,37,6,44,761,21,305,36,47,3618,9,2,21,5,71,1,4,0,8,11,13,215,15,416,6,424
20,837,72,158,8,421,121,18,659,175,130,0,15,24,508,14,11,8,21,56,237,651,581,4,270,139,0,23,6,34,9,84,10,3,234,509,85,19,332,326,29,7,28,3,47,746,20,295,28,50,3821,12,5,30,4,86,4,5,2,3,7,7,204,18,416,5,468
16,860,74,169,9,421,122,28,653,157,151,0,13,36,526,8,9,9,14,61,247,580,574,5,275,122,1,20,2,27,15,82,16,1,257,523,70,20,315,288,23,6,29,2,60,695,16,316,35,42,3591,10,4,20,8,77,1,6,4,6,4,6,215,15,375,6,444
19,877,73,177,8,421,111,16,652,190,146,2,17,30,514,11,8,6,18,66,247,568,533,6,278,133,5,24,4,55,8,70,11,4,277,549,75,15,322,321,16,7,26,9,45,666,15,309,34,47,3733,18,0,26,5,69,1,9,3,10,3,7,229,21,421,7,422
21,878,80,159,3,412,132,11,745,185,136,0,9,24,484,13,24,7,26,75,242,562,587,9,324,116,2,24,7,33,4,75,11,4,236,573,83,20,340,351,21,7,32,9,38,746,16,306,40,39,3696,18,4,19,4,84,0,5,3,5,3,9,198,20,389,4,445
13,860,55,151,10,370,131,18,672,196,135,1,14,34,530,11,11,4,15,61,222,555,542,7,286,133,0,30,4,32,10,75,15,1,271,492,80,20,390,323,29,9,30,5,54,761,23,308,21,49,3778,12,4,21,6,73,1,4,1,12,6,4,210,25,413,9,442
15,877,67,149,6,398,123,13,676,208,145,1,12,29,485,13,16,7,18,62,232,580,607,13,282,103,4,25,3,37,14,63,15,1,250,537,73,14,338,318,16,7,28,7,55,698,14,308,29,59,3727,12,2,25,10,78,1,4,0,9,8,5,226,14,419,8,447
13,876,68,179,11,400,132,14,665,195,154,0,21,28,560,15,14,7,25,63,233,508,578,10,280,126,1,30,5,38,10,73,17,0,227,563,84,16,324,310,19,13,40,4,55,698,19,321,29,41,3664,10,4,25,8,73,0,10,2,7,9,9,197,12,392,6,463
16,847,69,140,11,380,122,22,679,170,123,0,8,25,565,12,14,5,20,69,231,609,583,7,249,140,0,22,2,45,10,77,13,1,227,542,60,18,322,340,17,14,27,5,52,710,19,273,22,34,3634,13,3,24,8,82,0,6,2,8,10,5,192,10,418,9,445
17,842,79,156,11,412,119,24,709,184,134,0,12,21,508,14,15,6,26,75,209,521,570,8,299,131,1,24,3,41,2,83,11,1,255,476,92,14,333,366,22,5,30,4,39,715,18,281,26,47,3604,10,2,30,6,73,2,8,3,14,6,7,225,12,410,5,468
13,825,69,155,8,380,114,21,646,193,155,0,17,29,502,5,16,5,19,61,248,627,574,6,262,141,4,32,5,23,18,78,8,2,268,547,81,24,317,336,15,7,23,5,47,717,23,294,28,48,3773,18,3,24,6,67,1,8,2,7,2,11,208,24,428,7,428
20,857,75,159,9,403,117,17,684,165,120,0,21,23,528,14,18,3,23,63,251,582,552,11,314,116,3,18,4,53,4,88,10,6,257,547,86,22,330,357,21,13,28,5,48,734,15,290,31,52,3666,14,5,33,2,68,0,9,2,4,9,9,223,10,380,7,478
15,850,71,147,7,384,137,20,616,191,142,1,14,22,518,11,10,9,17,69,224,592,541,4,248,128,1,26,5,32,6,80,10,4,259,533,88,23,353,343,18,6,25,6,46,691,16,306,27,51,3844,10,3,25,10,71,2,10,1,6,9,8,233,22,448,7,458
16,806,71,171,10,422,112,15,661,194,130,2,19,24,472,16,19,4,16,70,225,602,582,6,251,104,0,29,2,51,6,77,13,2,258,524,91,22,331,348,29,8,20,5,50,746,21,299,26,47,3612,20,6,24,8,78,1,8,3,9,5,10,225,13,396,5,447
12,863,62,158,15,425,136,22,647,198,132,2,17,22,506,16,17,6,30,76,251,589,576,16,282,136,0,25,5,36,14,68,14,1,242,514,86,22,352,348,19,6,31,4,43,763,21,296,31,51,3667,11,2,28,7,86,1,9,1,6,4,5,209,14,413,3,474
11,835,70,169,12,434,120,12,675,197,127,3,18,35,529,11,15,4,20,82,257,578,564,4,268,118,0,27,5,46,12,86,7,0,245,526,66,15,349,321,25,8,29,5,38,764,16,312,28,52,3738,13,6,22,8,81,1,15,5,9,11,8,232,15,408,6,470
11,852,70,159,8,435,121,13,706,196,138,1,7,25,517,8,20,7,21,67,243,552,602,6,306,138,2,20,3,47,7,69,13,1,262,490,78,24,313,355,19,5,34,3,46,705,26,282,31,37,3608,18,1,33,10,69,2,7,1,16,9,13,222,12,408,5,474
16,875,70,154,6,443,121,15,676,172,147,2,16,20,517,14,18,13,18,63,229,575,588,4,296,131,1,23,5,41,8,75,11,0,218,518,93,17,309,347,22,8,24,6,49,702,24,311,40,41,3675,15,4,26,5,92,2,6,0,9,10,5,214,13,400,10,448
19,920,56,184,8,425,119,17,690,191,134,1,12,39,507,9,8,5,15,76,251,580,565,6,305,114,3,35,4,42,12,81,18,1,270,539,101,22,337,340,18,7,30,4,43,717,22,287,22,47,3767,12,3,24,7,63,1,6,2,6,8,6,216,17,396,6,466
19,891,75,177,8,407,106,17,655,191,124,1,15,28,509,15,17,10,18,71,231,596,579,7,288,128,0,25,8,38,4,55,17,2,232,516,97,13,329,293,15,5,39,3,36,694,20,282,26,51,3716,15,3,29,11,76,1,13,3,6,8,3,214,14,352,4,450
11,887,67,180,9,406,111,15,670,210,136,1,13,21,502,11,11,4,21,67,242,575,581,13,254,131,1,21,3,44,7,79,12,1,258,538,74,19,335,334,26,5,29,5,53,696,16,300,22,36,3664,17,3,24,5,81,1,3,4,7,6,6,223,14,405,10,468
19,928,69,147,8,381,117,13,680,198,128,0,14,25,519,14,7,8,15,47,257,580,571,12,282,145,0,18,5,33,6,81,11,1,243,528,80,21,334,338,18,14,27,6,39,697,15,290,29,34,3779,17,4,33,12,75,2,7,6,8,7,5,216,12,392,6,432
20,884,58,157,11,391,118,16,694,204,125,1,8,23,526,11,11,9,21,66,266,535,579,8,257,137,1,28,7,51,14,66,10,1,253,549,83,21,355,355,20,5,29,4,44,729,14,302,24,37,3694,14,4,21,4,74,4,8,4,8,4,3,217,10,381,10,464
15,907,63,161,11,404,142,15,650,181,130,1,13,24,510,10,9,8,18,59,252,572,568,6,273,119,2,22,0,39,11,80,15,4,234,535,88,23,328,349,22,5,40,3,45,729,20,330,31,42,3796,9,2,27,5,74,0,6,4,2,5,5,240,17,396,3,465
13,863,75,134,7,352,102,11,660,208,129,1,22,29,539,17,10,13,14,71,233,590,546,14,263,138,1,32,1,38,9,73,9,2,230,482,84,25,342,347,26,11,32,11,46,742,15,281,31,39,3701,15,2,18,8,70,1,7,1,10,6,7,213,10,412,6,460
